nameWithOwner,url,createdAt,stargazers,releases
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,80205,0
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,66040,163
elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,62985,108
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,51029,249
google/guava,https://github.com/google/guava,2014-05-29T16:23:17Z,46953,35
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,46861,231
square/retrofit,https://github.com/square/retrofit,2010-09-06T21:39:43Z,41252,0
apache/dubbo,https://github.com/apache/dubbo,2012-06-19T07:56:02Z,38521,74
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,36211,44
skylot/jadx,https://github.com/skylot/jadx,2013-03-18T17:08:21Z,33651,27
eugenp/tutorials,https://github.com/eugenp/tutorials,2013-04-29T18:26:36Z,33583,0
bumptech/glide,https://github.com/bumptech/glide,2013-07-08T22:52:33Z,33419,44
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,2015-10-21T08:26:28Z,30963,171
netty/netty,https://github.com/netty/netty,2010-11-09T09:22:21Z,30824,0
zxing/zxing,https://github.com/zxing/zxing,2011-10-12T14:07:27Z,30753,29
alibaba/druid,https://github.com/alibaba/druid,2011-11-03T05:12:51Z,26626,48
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,2013-01-14T21:40:56Z,26005,80
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,2013-03-05T08:18:59Z,25654,0
dromara/hutool,https://github.com/dromara/hutool,2014-04-13T07:23:51Z,25620,129
alibaba/canal,https://github.com/alibaba/canal,2013-01-13T10:59:52Z,25192,26
apache/kafka,https://github.com/apache/kafka,2011-08-15T18:06:16Z,24368,0
greenrobot/EventBus,https://github.com/greenrobot/EventBus,2012-07-16T16:55:40Z,24275,7
