nameWithOwner,url,createdAt,stargazers,releases,loc,cbo,dit,lcom
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,80287,0,32511,3.0,6.0,0.0
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,72530,0,78,1.0,1.0,0.0
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,66113,163,311815,4.0,13.0,0.0
macrozheng/mall,https://github.com/macrozheng/mall,2018-04-04T01:11:44Z,64169,2,100638,3.0,4.0,13.0
elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,63038,108,1910811,5.0,176.0,1.0
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,51077,249,650867,3.0,70.0,0.0
google/guava,https://github.com/google/guava,2014-05-29T16:23:17Z,46996,35,262839,2.0,66.0,0.0
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,46861,231,369970,1.0,26.0,0.0
square/retrofit,https://github.com/square/retrofit,2010-09-06T21:39:43Z,41252,0,26747,3.0,16.0,0.0
apache/dubbo,https://github.com/apache/dubbo,2012-06-19T07:56:02Z,38521,74,200689,4.0,10.0,0.0
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,36211,44,21111,5.0,6.0,1.0
airbnb/lottie-android,https://github.com/airbnb/lottie-android,2016-10-06T22:42:42Z,33693,44,15944,5.0,6.0,1.0
skylot/jadx,https://github.com/skylot/jadx,2013-03-18T17:08:21Z,33651,27,103501,3.0,21.0,0.0
eugenp/tutorials,https://github.com/eugenp/tutorials,2013-04-29T18:26:36Z,33583,0,383379,3.0,11.0,0.0
bumptech/glide,https://github.com/bumptech/glide,2013-07-08T22:52:33Z,33419,44,57646,4.0,20.0,0.0
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,2020-05-29T05:47:09Z,32126,0,61,1.0,1.0,0.0
alibaba/arthas,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,31960,47,40327,3.0,14.0,1.0
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,2015-10-21T08:26:28Z,30963,171,418583,4.0,28.0,1.0
netty/netty,https://github.com/netty/netty,2010-11-09T09:22:21Z,30824,0,313134,2.0,26.0,0.0
zxing/zxing,https://github.com/zxing/zxing,2011-10-12T14:07:27Z,30753,29,39569,4.0,6.0,0.0
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,28988,0,7163,4.0,5.0,0.0
apolloconfig/apollo,https://github.com/apolloconfig/apollo,2016-03-04T10:24:23Z,27852,38,26812,6.0,14.0,0.0
alibaba/druid,https://github.com/alibaba/druid,2011-11-03T05:12:51Z,26626,48,316754,4.0,32.0,0.0
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,2013-01-14T21:40:56Z,26005,80,91202,4.0,28.0,0.0
lenve/vhr,https://github.com/lenve/vhr,2018-01-04T08:57:51Z,25700,0,2971,2.0,2.0,6.0
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,2013-03-05T08:18:59Z,25654,0,7712,2.0,6.0,0.0
dromara/hutool,https://github.com/dromara/hutool,2014-04-13T07:23:51Z,25620,129,116275,3.0,11.0,1.0
alibaba/canal,https://github.com/alibaba/canal,2013-01-13T10:59:52Z,25192,26,107716,4.0,13.0,1.0
proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,2017-10-25T10:07:27Z,25098,49,3392,4.0,5.0,2.0
apache/kafka,https://github.com/apache/kafka,2011-08-15T18:06:16Z,24368,0,430753,4.0,17.0,0.0
greenrobot/EventBus,https://github.com/greenrobot/EventBus,2012-07-16T16:55:40Z,24275,7,5269,3.0,12.0,0.0
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,2015-11-28T12:59:34Z,23752,31,8606,3.0,4.0,0.0
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,2011-12-15T20:01:12Z,23394,0,228658,4.0,41.0,0.0
Netflix/Hystrix,https://github.com/Netflix/Hystrix,2012-11-19T20:14:46Z,23244,79,62010,2.0,114.0,0.0
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,23003,124,38329,5.0,10.0,1.0
google/gson,https://github.com/google/gson,2015-03-19T18:21:20Z,21907,6,32896,2.0,7.0,0.0
DrKLO/Telegram,https://github.com/DrKLO/Telegram,2013-10-25T14:08:10Z,21670,79,1073486,3.0,1520.0,0.0
apache/skywalking,https://github.com/apache/skywalking,2015-11-07T03:30:36Z,21398,55,73133,4.0,5.0,0.0
libgdx/libgdx,https://github.com/libgdx/libgdx,2012-08-10T19:34:38Z,21211,9,280993,3.0,48.0,0.0
apache/flink,https://github.com/apache/flink,2014-06-07T07:00:10Z,20823,0,1093388,4.0,61.0,0.0
redisson/redisson,https://github.com/redisson/redisson,2014-01-11T14:06:25Z,20746,120,132993,3.0,7.0,0.0
alibaba/Sentinel,https://github.com/alibaba/Sentinel,2018-04-04T06:37:33Z,20685,23,54735,3.0,18.0,0.0
google/ExoPlayer,https://github.com/google/ExoPlayer,2014-06-13T21:19:18Z,20486,23,240901,5.0,31.0,0.0
bazelbuild/bazel,https://github.com/bazelbuild/bazel,2014-06-12T16:00:38Z,20416,194,594164,5.0,42.0,1.0
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,2010-11-22T21:21:23Z,20396,245,174611,4.0,60.0,0.0
termux/termux-app,https://github.com/termux/termux-app,2015-10-23T09:42:46Z,19935,89,24073,4.0,6.0,0.0
ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,2014-08-19T03:46:38Z,19767,20,1452,1.0,3.0,0.0
elunez/eladmin,https://github.com/elunez/eladmin,2018-12-14T08:54:24Z,19441,0,7785,4.0,4.0,0.0
didi/DoKit,https://github.com/didi/DoKit,2018-08-14T10:32:07Z,19356,10,80426,2.0,18.0,0.0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,18714,0,894,2.0,1.0,0.0
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,2012-07-17T16:39:00Z,18452,5,1792,3.0,3.0,0.0
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,18349,42,29252,2.0,10.0,0.0
oracle/graal,https://github.com/oracle/graal,2016-01-14T17:11:35Z,18323,32,1483845,4.0,231.0,1.0
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,2013-02-14T19:03:32Z,18253,40,54183,2.0,7.0,0.0
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,2013-10-08T05:43:03Z,17934,0,10640,3.0,5.0,0.0
dianping/cat,https://github.com/dianping/cat,2012-12-05T02:31:48Z,17585,3,97994,4.0,10.0,1.0
facebook/fresco,https://github.com/facebook/fresco,2015-03-02T09:58:04Z,16920,45,68298,5.0,14.0,0.0
nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,16813,0,7434,3.0,6.0,0.5
shuzheng/zheng,https://github.com/shuzheng/zheng,2016-10-04T10:07:06Z,16455,0,41742,3.0,2.0,0.0
winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,2014-03-16T17:25:43Z,16193,0,2081,1.0,1.0,0.0
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,2012-03-19T17:46:53Z,15867,16,11699,4.0,5.0,3.0
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,15811,13,13150,3.0,8.0,0.0
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,2014-08-19T14:09:26Z,15304,0,2260,4.0,3.0,1.0
